user_id,question_id,score,answer,category
12,27,4.0,16.0,Places
12,28,2.0,7.0,Abstract concepts
12,29,2.0,15.0,Subjects
12,30,3.0,3.0,Colours
12,31,4.0,16.0,Places
12,32,4.0,2.0,Colours
12,33,4.0,20.0,Places
12,34,1.0,5.0,Colours
12,35,4.0,3.0,Colours
12,36,3.0,17.0,Places
12,37,3.0,19.0,Places
12,38,1.0,2.0,Colours
12,39,2.0,16.0,Places
12,40,3.0,3.0,Colours
12,41,4.0,18.0,Places
12,42,2.0,9.0,Abstract concepts
12,43,3.0,8.0,Abstract concepts
12,44,4.0,16.0,Places
12,45,4.0,5.0,Colours
12,46,3.0,9.0,Abstract concepts
12,47,4.0,16.0,Places
12,48,2.0,17.0,Places
12,49,3.0,5.0,Colours
12,50,3.0,18.0,Places
12,51,4.0,16.0,Places
12,52,4.0,2.0,Colours
12,53,4.0,20.0,Places
12,54,1.0,5.0,Colours
12,55,4.0,3.0,Colours
12,56,3.0,17.0,Places
12,57,3.0,19.0,Places
12,58,1.0,2.0,Colours
12,59,2.0,16.0,Places
12,60,3.0,3.0,Colours
13,1,1.0,2.0,Colours
13,2,1.0,3.0,Colours
13,3,1.0,4.0,Colours
13,4,1.0,2.0,Colours
13,5,1.0,3.0,Colours
13,6,1.0,1.0,Abstract concepts
13,7,1.0,4.0,Abstract concepts
13,8,1.0,4.0,Abstract concepts
13,9,1.0,4.0,Abstract concepts
13,10,1.0,3.0,Abstract concepts
13,11,1.0,4.0,Subjects
13,12,1.0,3.0,Subjects
13,13,1.0,4.0,Subjects
13,14,1.0,3.0,Subjects
13,15,1.0,2.0,Subjects
13,16,1.0,4.0,Places
13,17,1.0,2.0,Places
13,18,1.0,2.0,Places
13,19,1.0,3.0,Places
13,20,1.0,2.0,Places
13,21,3.0,7.0,Abstract concepts
13,22,2.0,11.0,Subjects
13,23,2.0,12.0,Subjects
13,24,4.0,16.0,Places
13,25,2.0,13.0,Subjects
13,26,3.0,19.0,Places
13,27,2.0,11.0,Subjects
13,28,2.0,7.0,Abstract concepts
13,29,3.0,5.0,Colours
13,30,2.0,8.0,Abstract concepts
13,31,4.0,16.0,Places
13,32,4.0,2.0,Colours
13,33,2.0,1.0,Colours
13,34,1.0,5.0,Colours
13,35,2.0,19.0,Places
13,36,3.0,17.0,Places
13,37,2.0,7.0,Abstract concepts
13,38,4.0,18.0,Places
13,39,2.0,16.0,Places
13,40,3.0,3.0,Colours
13,41,4.0,18.0,Places
13,42,2.0,9.0,Abstract concepts
13,43,2.0,2.0,Colours
13,44,4.0,16.0,Places
13,45,2.0,13.0,Subjects
13,46,3.0,9.0,Abstract concepts
13,47,4.0,16.0,Places
13,48,2.0,7.0,Abstract concepts
13,49,3.0,5.0,Colours
13,50,3.0,3.0,Colours
13,51,4.0,16.0,Places
13,52,1.0,18.0,Places
13,53,4.0,20.0,Places
13,54,1.0,5.0,Colours
13,55,4.0,3.0,Colours
13,56,3.0,17.0,Places
13,57,2.0,13.0,Subjects
13,58,4.0,18.0,Places
13,59,2.0,16.0,Places
13,60,3.0,3.0,Colours
14,1,1.0,2.0,Colours
14,2,1.0,4.0,Colours
14,3,1.0,3.0,Colours
14,4,1.0,1.0,Colours
14,5,1.0,3.0,Colours
14,6,1.0,1.0,Abstract concepts
14,7,1.0,4.0,Abstract concepts
14,8,1.0,4.0,Abstract concepts
14,9,1.0,2.0,Abstract concepts
14,10,1.0,4.0,Abstract concepts
14,11,1.0,3.0,Subjects
14,12,1.0,1.0,Subjects
14,13,1.0,4.0,Subjects
14,14,1.0,1.0,Subjects
14,15,1.0,1.0,Subjects
14,16,1.0,2.0,Places
14,17,1.0,1.0,Places
14,18,1.0,3.0,Places
14,19,1.0,3.0,Places
14,20,1.0,3.0,Places
14,21,3.0,7.0,Abstract concepts
14,22,4.0,3.0,Colours
14,23,2.0,2.0,Colours
14,24,4.0,16.0,Places
14,25,2.0,13.0,Subjects
